"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","26.963","27.285","28.215","25.555","75.19K","-0.39%"
"07/18/2023","27.069","25.975","27.650","25.120","65.57K","7.84%"
"07/17/2023","25.101","24.900","25.855","24.000","61.29K","-3.30%"
"07/14/2023","25.957","27.100","28.755","25.070","70.83K","-2.44%"
"07/13/2023","26.607","27.050","27.615","25.540","54.95K","-0.12%"
"07/12/2023","26.639","29.650","29.650","26.215","82.16K","-8.33%"
"07/11/2023","29.061","29.000","30.400","28.820","56.79K","-3.86%"
"07/10/2023","30.227","32.995","33.755","29.355","73.35K","-9.71%"
"07/07/2023","33.478","32.725","33.900","32.360","55.09K","3.49%"
"07/06/2023","32.348","33.745","34.030","32.225","54.61K","-5.89%"
"07/05/2023","34.373","34.505","36.300","33.855","57.95K","-2.93%"
"07/04/2023","35.410","34.000","35.600","33.155","52.54K","4.36%"
"07/03/2023","33.929","37.500","39.805","33.740","70.74K","-8.55%"
"06/30/2023","37.103","35.600","38.120","33.855","64.78K","5.47%"
"06/29/2023","35.180","34.000","35.600","31.900","43.78K","3.09%"
"06/28/2023","34.125","35.200","35.600","33.250","50.62K","-1.10%"
"06/27/2023","34.506","32.000","35.150","31.555","69.69K","7.92%"
"06/26/2023","31.975","34.065","37.000","31.600","83.14K","-1.64%"
"06/23/2023","32.507","33.750","34.145","31.200","61.86K","-4.66%"
"06/22/2023","34.097","37.500","38.000","33.710","75.68K","-7.20%"
"06/21/2023","36.743","37.800","40.000","36.170","89.06K","-5.08%"
"06/20/2023","38.708","35.500","40.700","35.500","88.89K","10.92%"
"06/19/2023","34.898","32.895","36.000","30.170","77.99K","-0.31%"
"06/16/2023","35.008","39.000","39.300","32.500","90.21K","-14.92%"
"06/15/2023","41.145","38.065","49.950","36.900","130.98K","7.39%"
"06/14/2023","38.312","35.000","40.285","33.010","116.74K","6.27%"
"06/13/2023","36.051","30.400","36.675","28.100","135.35K","16.16%"
"06/12/2023","31.036","33.000","33.275","29.075","79.69K","-3.16%"
"06/09/2023","32.049","26.600","33.475","26.600","104.19K","18.94%"
"06/08/2023","26.945","26.530","29.700","25.575","73.32K","2.33%"
